name,team,season,candidate_ids
Charles Smith,1994-95 New York Knicks,1994-95,293 1520 78179
Dee Brown,1999-00 Toronto Raptors,1999-00,244 200793
Gary Payton,2005-06 Miami Heat,2005-06,56 1627780
Gary Trent,2003-04 Minnesota Timberwolves,2003-04,718 1629018
Glenn Robinson,2004-05 San Antonio Spurs,2004-05,299 203922
Greg Smith,1970-71 Milwaukee Bucks,1970-71,78190 202962
Jaren Jackson,1997-98 San Antonio Spurs,1997-98,1114 1628991
Johnny Davis,1985-86 Atlanta Hawks,1985-86,76526 1631098
Larry Drew,1990-91 Los Angeles Lakers,1990-91,76599 203580
Larry Johnson,1992-93 Charlotte Hornets,1992-93,913 77156
Larry Nance,1989-90 Cleveland Cavaliers,1989-90,77685 1626204
Mike Dunleavy,1976-77 Philadelphia 76ers,1976-77,2399 76616
Mike James,2003-04 Detroit Pistons,2003-04,2229 1628455
Patrick Ewing,1994-95 New York Knicks,1994-95,121 201607
Reggie Williams,1993-94 Denver Nuggets,1993-94,199 202130
Ron Harper,1995-96 Chicago Bulls,1995-96,166 1631199
Tim Hardaway,1996-97 Miami Heat,1996-97,896 203501
