name,slug,nba_id,source,reason
Adama Bal,adama-bal,,current,no_nba_match
Alex Morales,alex-morales,,current,no_nba_match
Bez Mbeng,bez-mbeng,,current,no_nba_match
Blake Hinson,blake-hinson,,current,no_nba_match
C.J. McCollum,c-j-mccollum,,current,no_nba_match
Chaney Johnson,chaney-johnson,,current,no_nba_match
Charles Davis,charles-davis,,classic,no_nba_match
Cormac Ryan,cormac-ryan,,current,no_nba_match
Hayden Gray,hayden-gray,,current,no_nba_match
Isaac Austin,isaac-austin,,classic,no_nba_match
J.R. Smith,j-r-smith,,classic,no_nba_match
Jahmai Mashack,jahmai-mashack,,current,no_nba_match
Jayson Kent,jayson-kent,,current,no_nba_match
Jeff Pendegraph,jeff-pendegraph,,classic,no_nba_match
John Poulakidas,john-poulakidas,,current,no_nba_match
Josh Oduro,josh-oduro,,current,no_nba_match
Julian Reese,julian-reese,,current,no_nba_match
Keshon Gilbert,keshon-gilbert,,current,no_nba_match
LJ Cryer,lj-cryer,,current,no_nba_match
Luther Rackley,luther-rackley,,classic,no_nba_match
Malachi Smith,malachi-smith,,current,no_nba_match
Mike Holton,mike-holton,,classic,no_nba_match
Norchad Omier,norchad-omier,,current,no_nba_match
Payton Sandfort,payton-sandfort,,current,no_nba_match
Penny Hardaway,penny-hardaway,,classic,no_nba_match
R.J. Barrett,r-j-barrett,,current,no_nba_match
Ron Holland,ron-holland,,current,no_nba_match
Sean Pedulla,sean-pedulla,,current,no_nba_match
Stanislav Medvedenko,stanislav-medvedenko,,classic,no_nba_match
Steve Smith,steve-smith,,classic,no_nba_match
Tristan Enaruna,tristan-enaruna,,current,no_nba_match
World B. Free,world-b-free,,classic,no_nba_match
