slug,name,team,pos,overall,height,height_in,weight_lbs,wingspan,wingspan_in,Outside Scoring,Inside Scoring,Playmaking,Athleticism,Defense,Rebounding,Intangibles,Close Shot,Free Throw,Mid-Range Shot,Offensive Consistency,Shot IQ,Three-Point Shot,Draw Foul,Driving Dunk,Hands,Layup,Post Control,Post Fade,Post Hook,Standing Dunk,Ball Handle,Pass Accuracy,Pass IQ,Pass Vision,Speed with Ball,Agility,Hustle,Overall Durability,Speed,Stamina,Strength,Vertical,Block,Defensive Consistency,Help Defense IQ,Interior Defense,Pass Perception,Perimeter Defense,Steal,Defensive Rebound,Offensive Rebound
shai-gilgeous-alexander,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG / SG,97,"6'6""",78,195,"7'0""",84,91.0,83.0,93.0,85.0,79.0,44.0,60.0,97,88,99,98,80,82,98,75,98,98,86,90,76,40,96,97,98,85,87,86,90,84,88,98,66,85,62,85,89,69,95,86,70,54,34
victor-wembanyama,Victor Wembanyama,San Antonio Spurs,C / PF,97,"7'4""",88,235,"8'0""",96,89.0,91.0,72.0,79.0,88.0,86.0,95.0,92,83,84,98,95,80,97,85,98,86,87,89,89,95,76,72,84,65,64,69,98,84,66,97,70,72,99,98,97,97,84,80,59,98,73
anthony-edwards,Anthony Edwards,Minnesota Timberwolves,SG / SF,95,"6'4""",76,295,"6'9""",81,90.0,84.0,81.0,89.0,73.0,47.0,65.0,96,80,89,98,85,92,95,97,98,97,84,84,70,50,92,79,80,65,90,90,90,91,94,97,67,97,61,85,84,59,84,85,56,60,34
kevin-durant,Kevin Durant,Houston Rockets,SF / SG,93,"6'11""",83,240,"7'5""",89,92.0,84.0,81.0,80.0,67.0,48.0,40.0,98,88,97,95,80,92,85,85,98,96,86,89,74,60,92,78,88,70,77,78,90,82,78,94,63,77,62,75,75,70,75,77,38,62,33
devin-booker,Devin Booker,Phoenix Suns,SG / PG,91,"6'5""",77,206,"6'8""",80,91.0,78.0,82.0,83.0,62.0,44.0,60.0,96,87,94,95,85,86,87,75,98,95,84,79,74,30,92,80,80,75,83,80,95,83,83,95,64,79,45,65,74,58,74,75,40,52,36
lebron-james,LeBron James,Philadelphia 76ers,PF / SF,91,"6'9""",81,250,"7'0""",84,84.0,87.0,87.0,83.0,64.0,54.0,70.0,94,74,83,80,95,76,80,85,98,97,84,88,82,80,84,90,97,81,85,84,70,74,87,88,89,89,57,60,70,74,70,74,46,69,38
tyrese-haliburton,Tyrese Haliburton,Indiana Pacers,PG / SG,90,"6'5""",77,185,"6'8""",80,88.0,61.0,92.0,79.0,69.0,42.0,68.0,98,86,90,80,85,87,62,65,95,94,40,49,42,40,90,97,96,95,83,84,95,64,83,95,59,70,56,75,78,60,75,77,63,49,35
alperen-sengun,Alperen Sengun,Houston Rockets,C / PF,87,"6'11""",83,243,"7'2""",86,81.0,86.0,69.0,78.0,69.0,72.0,70.0,94,69,72,90,85,74,75,80,95,82,96,95,94,70,62,79,84,74,48,64,90,91,52,88,90,69,70,65,69,72,85,63,56,74,69
jalen-johnson,Jalen Johnson,Atlanta Hawks,PF / SF,87,"6'8""",80,219,"7'0""",84,84.0,85.0,80.0,79.0,57.0,68.0,65.0,83,78,88,95,80,80,90,96,80,90,84,84,82,75,79,83,86,77,74,76,80,86,76,85,68,82,51,50,60,66,57,66,49,89,46
kyrie-irving,Kyrie Irving,Dallas Mavericks,PG / SG,87,"6'2""",74,195,"6'4""",76,88.0,62.0,82.0,74.0,57.0,47.0,30.0,91,92,98,95,65,86,75,30,96,97,54,82,35,25,99,80,80,70,83,85,87,53,83,89,37,81,51,55,67,32,75,67,53,51,43
