slug,name,team,pos,overall,height,height_in,weight_lbs,wingspan,wingspan_in,Outside Scoring,Inside Scoring,Playmaking,Athleticism,Defense,Rebounding,Intangibles,Close Shot,Free Throw,Mid-Range Shot,Offensive Consistency,Shot IQ,Three-Point Shot,Draw Foul,Driving Dunk,Hands,Layup,Post Control,Post Fade,Post Hook,Standing Dunk,Ball Handle,Pass Accuracy,Pass IQ,Pass Vision,Speed with Ball,Agility,Hustle,Overall Durability,Speed,Stamina,Strength,Vertical,Block,Defensive Consistency,Help Defense IQ,Interior Defense,Pass Perception,Perimeter Defense,Steal,Defensive Rebound,Offensive Rebound,badge: Deadeye,badge: Limitless Range,badge: Mini Marksman,badge: Set Shot Specialist,badge: Shifty Shooter,badge: Aerial Wizard,badge: Float Game,badge: Hook Specialist,badge: Layup Mixmaster,badge: Paint Prodigy,badge: Physical Finisher,badge: Post Fade Phenom,badge: Post Powerhouse,badge: Post-Up Poet,badge: Posterizer,badge: Rise Up,badge: Ankle Assassin,badge: Bail Out,badge: Break Starter,badge: Dimer,badge: Handles For Days,badge: Lightning Launch,badge: Strong Handle,badge: Unpluckable,badge: Versatile Visionary,badge: Challenger,badge: Glove,badge: High-Flying Denier,badge: Immovable Enforcer,badge: Interceptor,badge: Off-Ball Pest,badge: On-Ball Menace,badge: Paint Patroller,badge: Pick Dodger,badge: Post Lockdown,badge: Boxout Beast,badge: Rebound Chaser,badge: Brick Wall,badge: Pogo Stick,badge: Slippery Off-Ball,classic_team,base_team,season,era_tag
allen-iverson-2000-01-philadelphia-76ers,Allen Iverson,2000-01 Philadelphia 76ers,SG / PG,93,"6'0""",72,165,"6'3""",75,86.0,65.0,91.0,91.0,74.0,52.0,55.0,78,81,87,98,95,79,88,65,98,98,39,60,48,25,97,90,90,80,96,91,98,85,97,98,69,97,39,80,87,35,96,88,95,55,49,Silver,-,Gold,-,Gold,-,Gold,-,HOF,-,-,-,-,-,-,-,HOF,Gold,-,-,HOF,HOF,Silver,Silver,Bronze,-,HOF,-,-,Silver,-,-,-,Silver,-,-,-,-,-,Gold,2000-01 Philadelphia 76ers,Philadelphia 76ers,2000-01,'01
dikembe-mutombo-2000-01-philadelphia-76ers,Dikembe Mutombo,2000-01 Philadelphia 76ers,C,82,"7'2""",86,261,"7'7""",91,53.0,64.0,49.0,60.0,76.0,89.0,75.0,51,72,33,45,90,25,75,40,98,32,62,40,68,95,29,45,78,50,44,28,65,82,60,72,75,40,90,80,92,95,90,28,55,92,86,-,-,-,-,-,Silver,-,-,-,-,-,-,Gold,-,-,Gold,-,-,-,-,-,-,-,-,-,Gold,-,Gold,-,-,-,-,HOF,-,Gold,Gold,Silver,Gold,HOF,-,2000-01 Philadelphia 76ers,Philadelphia 76ers,2000-01,'01
aaron-mckie-2000-01-philadelphia-76ers,Aaron McKie,2000-01 Philadelphia 76ers,PG / SG,79,"6'5""",77,209,"6'8""",80,78.0,64.0,79.0,76.0,66.0,45.0,80.0,82,76,89,70,70,79,65,62,95,84,55,57,37,55,83,79,79,73,79,82,80,83,79,87,60,62,30,70,83,66,66,75,71,57,33,-,-,-,-,-,-,Silver,-,Silver,-,-,-,-,-,-,-,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000-01 Philadelphia 76ers,Philadelphia 76ers,2000-01,'01
eric-snow-2000-01-philadelphia-76ers,Eric Snow,2000-01 Philadelphia 76ers,PG,79,"6'3""",75,190,"6'6""",78,70.0,58.0,80.0,73.0,72.0,42.0,60.0,81,80,75,45,70,67,53,25,93,85,60,70,55,25,78,82,80,79,80,89,60,83,80,85,54,57,40,90,85,52,88,89,61,48,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold,Gold,-,Gold,-,Gold,Gold,-,Gold,-,-,-,-,-,-,2000-01 Philadelphia 76ers,Philadelphia 76ers,2000-01,'01
tyrone-hill-2000-01-philadelphia-76ers,Tyrone Hill,2000-01 Philadelphia 76ers,PF,76,"6'9""",81,250,"7'0""",84,62.0,64.0,42.0,66.0,64.0,78.0,98.0,64,63,57,65,98,25,70,58,66,51,66,50,68,85,48,80,31,28,25,42,85,77,45,82,80,49,45,65,75,84,80,42,56,78,78,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold,-,Bronze,-,-,2000-01 Philadelphia 76ers,Philadelphia 76ers,2000-01,'01
george-lynch-2000-01-philadelphia-76ers,George Lynch,2000-01 Philadelphia 76ers,SF / PF,75,"6'8""",80,235,"6'11""",83,66.0,62.0,51.0,77.0,64.0,76.0,90.0,69,71,64,45,85,60,66,66,75,61,56,62,47,60,64,44,47,36,66,76,85,81,69,79,73,75,45,65,69,68,64,70,65,76,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000-01 Philadelphia 76ers,Philadelphia 76ers,2000-01,'01
speedy-claxton-2000-01-philadelphia-76ers,Speedy Claxton,2000-01 Philadelphia 76ers,PG,74,"5'11""",71,166,"6'3""",75,68.0,43.0,81.0,74.0,60.0,49.0,80.0,67,76,71,75,80,41,56,25,85,75,25,25,27,25,80,80,80,73,90,79,63,81,90,85,35,84,50,65,65,25,67,69,76,45,53,-,-,Gold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bronze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000-01 Philadelphia 76ers,Philadelphia 76ers,2000-01,'01
kevin-ollie-2000-01-philadelphia-76ers,Kevin Ollie,2000-01 Philadelphia 76ers,PG,73,"6'2""",74,195,"6'6""",78,71.0,45.0,78.0,74.0,58.0,41.0,60.0,62,76,77,70,65,76,49,25,80,68,31,39,42,25,78,81,82,71,76,76,85,80,77,88,49,65,30,65,70,36,72,74,59,49,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Silver,Silver,-,-,-,Bronze,Bronze,Silver,-,-,-,-,-,-,-,-,Bronze,-,-,-,-,-,-,2000-01 Philadelphia 76ers,Philadelphia 76ers,2000-01,'01
jumaine-jones-2000-01-philadelphia-76ers,Jumaine Jones,2000-01 Philadelphia 76ers,SF,71,"6'8""",80,218,"6'11""",83,62.0,59.0,44.0,71.0,59.0,66.0,98.0,69,75,63,45,62,60,53,66,70,62,62,61,44,55,64,33,33,32,59,69,77,85,72,75,55,65,52,55,61,60,60,62,63,66,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000-01 Philadelphia 76ers,Philadelphia 76ers,2000-01,'01
rodney-buford-2000-01-philadelphia-76ers,Rodney Buford,2000-01 Philadelphia 76ers,SF,71,"6'5""",77,189,"6'8""",80,67.0,49.0,56.0,77.0,55.0,53.0,95.0,70,83,60,50,66,75,42,60,68,61,44,49,39,25,70,50,47,51,62,71,89,85,64,95,64,68,40,70,70,43,55,64,42,54,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000-01 Philadelphia 76ers,Philadelphia 76ers,2000-01,'01
